OBJECTID,Location,Year,Count,Annual mean NO2 concentration μg/m3,Original Site ID,Site type,Historical annual data,Current,Year option,Site ID,x,y
1,123 Newfoundland Street façade,2023,12,22.3,373,single,"2010: 53, 2011: 47.9, 2012: 44.9, 2013: 45.2, 2014: 41.6, 2015: 38.3, 2016: 39.5, 2017: 38.5, 2018: 35.7, 2019: 31.2, 2020: 23.9, 2021: 27.9, 2022: 27.4, 2023: 22.3",Yes,Current sites,373,-287293.0244,6703336.977
2,Lamppost outside BRI CAZ,2023,21,25.6,"560_1, 560_2",duplicate,,Yes,Current sites,560,-289022.327399999,6702784.8198
3,Co-located Colston Ave,2023,33,48.9,"502_1, 502_2, 502_3",triplicate,,Yes,Current sites,502,-289057.823600002,6702223.8802
4,Temple Way Nox site,2023,29,26.2,"499_1, 499_2, 499_3",triplicate,,Yes,Current sites,499,-287648.5244,6702702.7651
5,Fishponds Road,2023,33,20.8,"464_1, 464_2, 464_3",triplicate,,Yes,Current sites,464,-282219.059500001,6706296.9278
6,St. Pauls Day Nursery,2023,33,14.3,"455_1, 455_2, 455_3",triplicate,,Yes,Current sites,455,-287711.5297,6703574.6253
7,Parson Street School,2023,30,24,"439_1, 439_2, 439_3",triplicate,,Yes,Current sites,439,-289982.853700001,6698188.6291
8,A37 Junction w/ Airport Road,2023,36,25,"438_1, 438_2, 438_3",triplicate,,Yes,Current sites,438,-285394.4734,6697329.4279
9,Monitor     Bath Road Brislington,2023,35,17.7,"320_1, 320_2, 320_3",triplicate,,Yes,Current sites,320,-284969.958900001,6699810.1672
10,Portway - Bridge Valley Road,2023,8,25.8,700,single,2023 25.8,Yes,Current sites,700,-292754.200399999,6702793.615
11,Portway - Roman Way,2023,8,18.8,699,single,2023 18.8,Yes,Current sites,699,-294731.864799999,6706472.0462
12,Portway - Sylvan Way,2023,4,19.9,698,single,2023 19.9,Yes,Current sites,698,-295527.429699998,6707789.3571
13,Lyppiatt Road Opposite No 25,2023,8,17,684,single,"2022: 20.1, 2023: 17",Yes,Current sites,684,-284326.9146,6703115.8134
14,Victoria Parade Opposite No 39,2023,10,17.2,683,single,"2022: 18.6, 2023: 17.2",Yes,Current sites,683,-284560.790600002,6703106.0115
15,Church Road Miss Millies,2023,10,22.9,682,single,"2022: 26.7, 2023: 22.9",Yes,Current sites,682,-284706.295200001,6702852.6859
16,Russel Town Avenue Opposite Pheonix Social Enterprise Club,2023,11,22.4,681,single,"2022: 24.8, 2023: 22.4",Yes,Current sites,681,-285306.526799999,6702978.2209
17,Morely Street/Bright Street Ped Crossing,2023,10,19.9,680,single,"2022: 20.8, 2023: 19.9",Yes,Current sites,680,-285321.487399999,6702419.0558
18,Avonvale Road Opposite Bristol Futures Academy,2023,11,20.3,679,single,"2022: 21, 2023: 20.3",Yes,Current sites,679,-285061.604200002,6702165.6411
19,Victoria Avenue Opposite No 90,2023,11,15.6,678,single,"2022: 17.7, 2023: 15.6",Yes,Current sites,678,-284832.3222,6702567.3842
